,Median OR,95% Interval,90% Interval,75% Interval
dihydroferulate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
estrone 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydrocaffeate sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihomolinolenate (20:3n3 or 3n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihomolinoleate (20:2n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diglycerol,1.0,"(1.0, 1.34285776)","(1.0, 1.33977274)","(1.0, 1.18447543)"
digalacturonic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
digalactosylglycerol*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dibutyl sulfosuccinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diaminopimelate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydrocaffeate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoinositol*,1.0,"(1.0, 1.02388068)","(1.0, 1.0)","(1.0, 1.0)"
ethylmalonate,1.0,"(1.0, 0.75306781)","(1.0, 0.75926836)","(1.0, 0.88426366)"
famotidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of C10H18O2 (7)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of C10H18O2 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucose,1.0,"(1.0, 1.09526901)","(1.0, 1.06502684)","(1.0, 1.0)"
glucosamine 6-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gluconate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ginkgolic acid C17:1,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ginkgolic acid C15:1,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ginkgolic acid C13:0,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gentisic acid-5-glucoside,1.0,"(1.0, 1.20345911)","(1.0, 1.06513335)","(1.0, 1.0)"
gentisate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
genistein sulfate*,1.0,"(1.0, 1.00904062)","(1.0, 1.0)","(1.0, 1.0)"
genistein glucuronide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
genistein,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-tocotrienol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-tocopherol/beta-tocopherol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylvaline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of C10H18O2 (8)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamyltyrosine,1.0,"(1.0, 1.68472105)","(1.0, 1.68101874)","(1.0, 1.63427618)"
glucuronide of C16H30O4 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of piperine metabolite C17H21NO3 (4)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoethanolamine,1.0,"(1.0, 1.40747877)","(1.0, 1.36247105)","(1.0, 1.25207228)"
glycerol 3-phosphate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutarylcarnitine (C5-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutarate (C5-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamyl-meso-diaminopimelate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutaminylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine conjugate of C9H16O2 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
maleate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine conjugate of C7H12O2*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine conjugate of C6H10O2 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine conjugate of C6H10O2 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"glutamate, gamma-methyl ester",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of piperine metabolite C17H21NO3 (6)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of piperine metabolite C17H21NO3 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylthreonine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylserine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylphenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
fumarate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
fucosterol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
fructosyllysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
fructose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
formononetin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
formiminoglutamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
fluconazole,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
fexofenadine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ferulylglycine (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ferulylglycine (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
feruloylquinate (5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
feruloylquinate (4),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
feruloylquinate (3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
feruloylquinate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
feruloylquinate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ferulic acid 4-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ferulate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
furaneol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
furosemide,1.0,"(1.0, 0.91247006)","(1.0, 0.93304672)","(1.0, 0.96686152)"
gabapentin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
galactitol (dulcitol),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylmethionine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylisoleucine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylhistidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylglutamine,1.0,"(1.0, 1.30878601)","(1.0, 1.22912189)","(1.0, 1.1247941)"
gamma-glutamylglutamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylcysteine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
etiocholanolone glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylcitrulline*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamyl-epsilon-lysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamyl-alpha-lysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-aminobutyrate (GABA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-CEHC sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-CEHC glucuronide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-CEHC,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
galactosylglycerol,1.0,"(1.0, 0.96386889)","(1.0, 1.0)","(1.0, 1.0)"
galactonate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
malonate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mead acid (20:3n9),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
maltitol/lactitol/cellobiotol/palatinol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C15H17NO3 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C15H17NO3 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sucrose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sucralose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
succinylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
succinylcarnitine (C4-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
succinoyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
succinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
suberoylcarnitine (C8-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
suberate (C8-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stigmasterol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stigmastadienone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
steviol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearoylcarnitine (C18),1.0,"(1.0, 1.01948745)","(1.0, 1.0)","(1.0, 1.0)"
stearoyl-linoleoyl-glycerol (18:0/18:2) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearoyl sphingomyelin (d18:1/18:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H17NO3 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H17NO3 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H19NO3 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurochenodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tauro-beta-muricholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurine,1.0,"(1.0, 1.00030005)","(1.0, 1.0)","(1.0, 1.0)"
tartronate (hydroxymalonate),1.0,"(1.0, 1.19363109)","(1.0, 1.13609847)","(1.0, 1.03644854)"
tartarate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tamsulosin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
syringic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
syringaldehyde,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
synephrine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfociprofloxacin*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C18H21NO3 (3)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C18H21NO3 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C18H21NO3 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H19NO4 (4)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H19NO4 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H19NO3 (3)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H19NO3 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearidonate (18:4n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearate (18:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stachydrine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
secoisolariciresinol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sebacate (C10-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sarcosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
salicyluric glucuronide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
salicylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
saccharopine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
saccharin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
rutin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
rosuvastatin lactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
rosuvastatin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
rosmarinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ritonavir,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ritalinic acid,1.0,"(1.0, 0.99024786)","(1.0, 0.99183353)","(1.0, 1.0)"
ribulose/xylulose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ribulonate/xylulonate/lyxonate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ribonate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
riboflavin (Vitamin B2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sedoheptulose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
serine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
serotonin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sertraline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sphingosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",1.0,"(1.0, 1.11237793)","(1.0, 1.08904373)","(1.0, 1.05379718)"
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",1.0,"(1.0, 0.81873075)","(1.0, 0.83819878)","(1.0, 0.90158586)"
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurochenodeoxycholic acid 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:0/18:0, d19:0/17:0)*",1.0,"(1.0, 1.2956338)","(1.0, 1.13269528)","(1.0, 1.07004425)"
sphingadienine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
spermine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
spermidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
soyasaponin III,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
soyasaponin II,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
soyasaponin I,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
solifenacin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
solanidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sphinganine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurocholenate sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"uridine-2',3'-cyclic monophosphate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
uridine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
urea,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
urate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
uracil,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
undecenoylcarnitine (C11:1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
undecanoate (11:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
undecanedioate (C11-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
umbelliferone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
umbelliferone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tyrosylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tyrosol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tyrosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tyramine O-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tyramine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tryptophylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tryptophan betaine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ursocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ursodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ursodeoxycholate sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valerate (5:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
xanthosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
xanthine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
warfarin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vitexin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
venlafaxine,1.0,"(1.0, 1.0102522)","(1.0, 1.0)","(1.0, 1.0)"
vanillin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vanillic alcohol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vanillic acid glycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tryptophan,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vanillate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vancomycin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valsartan,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valerylphenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valerylglycine (C5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vanillactate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ribitol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tryptamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trimethylamine N-oxide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocortisol sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocortisol sulfate (1),1.0,"(1.0, 1.16276408)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocortisol glucuronide ,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocortisol disulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocorticosterone glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetradecanoylsphingosine (d14:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetradecanedioate (C14),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetradecadienoate (14:2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tenofovir,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tauroursodeoxycholic acid sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tauroursodeoxycholic acid sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tauroursodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurolithocholate 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurolithocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurohyodeoxycholic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurohyocholate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurodeoxycholic acid 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocortisone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
theanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
theobromine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
theophylline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trigonelline (N'-methylnicotinate),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tricosanoyl sphingomyelin (d18:1/23:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tricarballylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trazadone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trans-urocanate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trans-2-hexenoylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tramadol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
torasemide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trizma acetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tiglyl carnitine (C5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
thymol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
thymine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
thymidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
threonylphenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
threonine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
threonate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
thioproline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
thiamin (Vitamin B1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tigloylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
retinol (Vitamin A),1.0,"(1.0, 1.07831539)","(1.0, 1.04854134)","(1.0, 1.0121735)"
resveratrol sulfate (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ranitidine N-oxide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleate/vaccenate (18:1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
octanoylcarnitine (C8),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
