#Scan#,Adduct,CAS_Number,Charge,Compound_Name,Compound_Source,Data_Collector,ExactMass,FileScanUniqueID,INCHI,INCHI_AUX,Instrument,IonMode,Ion_Source,LibMZ,LibraryName,LibraryQualityString,Library_Class,MQScore,MZErrorPPM,MassDiff,MoleculeExplorerDatasets,MoleculeExplorerFiles,NumberHits,Organism,PI,Precursor_MZ,Pubmed_ID,RT_Query,SharedPeaks,Smiles,SpecCharge,SpecMZ,SpectrumFile,SpectrumID,TIC_Query,UpdateWorkflowName,tags
274058,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274058,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.88833,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,361.951,10,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,24126.2,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274069,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274069,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.816106,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,363.798,9,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,8638.85,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274075,M+H,N/A,1,MoNA:784624 Linoleic acid,Commercial,MoNA,0,spectra/specs_ms.pklbin274075,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",N/A,qTof,Positive,LC-ESI,281.247,lib-00028.mgf,Bronze,3,0.874253,0,0,0,0,1,MONA,MoNA,281.247,N/A,433.593,10,CCCCCC=CCC=CCCCCCCCC(=O)O,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00000568003,23903.8,UPDATE-SINGLE-ANNOTATED-BRONZE,Polyunsaturated Omega-6 Fatty Acid[Chemical Family]
274080,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274080,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.781709,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,356.775,8,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,4764.13,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274088,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by aaksenov,0,spectra/specs_ms.pklbin274088,N/A,N/A,HCD,Positive,ESI,281.248,lib-00031.mgf,Bronze,3,0.738312,3.47225,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from P. Dorrestein R. Knight,281.248,N/A,327.115,8,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003139643,21147.2,UPDATE-SINGLE-ANNOTATED-BRONZE, 
274090,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274090,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.834537,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,320.545,10,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,34848.2,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274092,M+H,N/A,1,MoNA:784624 Linoleic acid,Commercial,MoNA,0,spectra/specs_ms.pklbin274092,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",N/A,qTof,Positive,LC-ESI,281.247,lib-00028.mgf,Bronze,3,0.847564,0,0,0,0,1,MONA,MoNA,281.247,N/A,361.405,9,CCCCCC=CCC=CCCCCCCCC(=O)O,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00000568003,56161.2,UPDATE-SINGLE-ANNOTATED-BRONZE,Polyunsaturated Omega-6 Fatty Acid[Chemical Family]
274096,M+H,N/A,1,MoNA:784624 Linoleic acid,Commercial,MoNA,0,spectra/specs_ms.pklbin274096,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",N/A,qTof,Positive,LC-ESI,281.247,lib-00028.mgf,Bronze,3,0.854224,3.47226,0.000976562,0,0,1,MONA,MoNA,281.247,N/A,433.013,10,CCCCCC=CCC=CCCCCCCCC(=O)O,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00000568003,5835.91,UPDATE-SINGLE-ANNOTATED-BRONZE,Polyunsaturated Omega-6 Fatty Acid[Chemical Family]
274100,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274100,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.879868,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,433.012,9,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,7934.97,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274119,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274119,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.943077,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,362.669,12,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,3883.78,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274129,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274129,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.80713,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,363.294,9,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,6769.4,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274141,[M+H]+,N/A,1,MoNA:790553 Linoleic acid,isolated,MoNA,0,spectra/specs_ms.pklbin274141,"InChI=1/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-/f/h19H",N/A,LC-ESI-QFT, ,LC-ESI-QFT,281.247,lib-00028.mgf,Bronze,3,0.817918,0,0,31,4302,1,MONA,MoNA,281.247,N/A,365.717,10,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00000567923,5644.82,UPDATE-SINGLE-ANNOTATED-BRONZE, 
274145,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274145,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.762805,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,326.934,8,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,28685.9,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274151,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274151,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.842604,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,356.527,9,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,4748.54,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274166,M+H,N/A,1,MoNA:784624 Linoleic acid,Commercial,MoNA,0,spectra/specs_ms.pklbin274166,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",N/A,qTof,Positive,LC-ESI,281.247,lib-00028.mgf,Bronze,3,0.874462,3.47226,0.000976562,0,0,1,MONA,MoNA,281.247,N/A,361.911,10,CCCCCC=CCC=CCCCCCCCC(=O)O,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00000568003,6048.06,UPDATE-SINGLE-ANNOTATED-BRONZE,Polyunsaturated Omega-6 Fatty Acid[Chemical Family]
274206,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274206,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.792396,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,363.541,9,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,3799.93,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274210,M+H,N/A,1,MoNA:784624 Linoleic acid,Commercial,MoNA,0,spectra/specs_ms.pklbin274210,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",N/A,qTof,Positive,LC-ESI,281.247,lib-00028.mgf,Bronze,3,0.793703,0,0,0,0,1,MONA,MoNA,281.247,N/A,433.599,8,CCCCCC=CCC=CCCCCCCCC(=O)O,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00000568003,8224.11,UPDATE-SINGLE-ANNOTATED-BRONZE,Polyunsaturated Omega-6 Fatty Acid[Chemical Family]
274224,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274224,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.887618,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,320.687,11,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,5486.6,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274232,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274232,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.760111,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,327.991,9,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,12610.2,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274254,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274254,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.853527,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,433.509,10,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,31096,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274261,M+H,N/A,1,MoNA:784624 Linoleic acid,Commercial,MoNA,0,spectra/specs_ms.pklbin274261,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",N/A,qTof,Positive,LC-ESI,281.247,lib-00028.mgf,Bronze,3,0.849,0,0,0,0,1,MONA,MoNA,281.247,N/A,363.272,9,CCCCCC=CCC=CCCCCCCCC(=O)O,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00000568003,4561.66,UPDATE-SINGLE-ANNOTATED-BRONZE,Polyunsaturated Omega-6 Fatty Acid[Chemical Family]
274264,M+H,N/A,1,MoNA:784624 Linoleic acid,Commercial,MoNA,0,spectra/specs_ms.pklbin274264,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",N/A,qTof,Positive,LC-ESI,281.247,lib-00028.mgf,Bronze,3,0.839712,0,0,0,0,1,MONA,MoNA,281.247,N/A,363.172,10,CCCCCC=CCC=CCCCCCCCC(=O)O,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00000568003,5798.23,UPDATE-SINGLE-ANNOTATED-BRONZE,Polyunsaturated Omega-6 Fatty Acid[Chemical Family]
274288,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274288,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.844443,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,320.47,11,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,6708.14,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274296,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274296,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.703755,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,328.385,8,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,4521.29,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274299,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274299,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.883709,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,366.16,11,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,17348.8,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274320,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274320,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.862254,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,433.932,9,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,3747.57,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274337,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274337,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.837581,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,321.391,10,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,5769.51,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274346,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274346,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.850691,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,356.112,10,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,22462.9,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274368,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274368,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.755963,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,327.612,9,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,14161.6,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274382,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274382,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.736902,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,320.41,8,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,4940.45,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274401,M+H,N/A,1,MoNA:784624 Linoleic acid,Commercial,MoNA,0,spectra/specs_ms.pklbin274401,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",N/A,qTof,Positive,LC-ESI,281.247,lib-00028.mgf,Bronze,3,0.830471,0,0,0,0,1,MONA,MoNA,281.247,N/A,365.292,9,CCCCCC=CCC=CCCCCCCCC(=O)O,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00000568003,7465.41,UPDATE-SINGLE-ANNOTATED-BRONZE,Polyunsaturated Omega-6 Fatty Acid[Chemical Family]
274406,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274406,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.836258,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,320.441,10,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,7548.75,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274430,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274430,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.728163,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,328.173,8,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,14704.3,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274492,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274492,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.869099,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,433.643,10,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,3842.28,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274499,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274499,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.828017,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,433.764,9,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,3731.3,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274541,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274541,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.826699,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,320.124,9,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,4469.72,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274543,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274543,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.89936,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,433.726,11,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,6835.46,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274545,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274545,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.846564,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,433.436,9,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,5186.27,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274629,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274629,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.754147,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,362.743,8,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,5892.06,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274632,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274632,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.755816,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,359.481,8,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,3415.05,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274664,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by aaksenov,0,spectra/specs_ms.pklbin274664,N/A,N/A,HCD,Positive,ESI,281.248,lib-00031.mgf,Bronze,3,0.761112,3.47225,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from P. Dorrestein R. Knight,281.248,N/A,327.205,9,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003139643,7868.58,UPDATE-SINGLE-ANNOTATED-BRONZE, 
274688,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274688,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.858273,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,431.951,10,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,5573.84,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274693,M+H,N/A,1,MoNA:784624 Linoleic acid,Commercial,MoNA,0,spectra/specs_ms.pklbin274693,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",N/A,qTof,Positive,LC-ESI,281.247,lib-00028.mgf,Bronze,3,0.850736,0,0,0,0,1,MONA,MoNA,281.247,N/A,434.19,9,CCCCCC=CCC=CCCCCCCCC(=O)O,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00000568003,5819.83,UPDATE-SINGLE-ANNOTATED-BRONZE,Polyunsaturated Omega-6 Fatty Acid[Chemical Family]
274698,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274698,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.860979,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,319.76,10,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,3842.74,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274700,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274700,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.912818,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,433.905,12,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,6810.46,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274727,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274727,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.713629,3.47226,0.000976562,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,327.473,8,N/A,0,281.248,spectra/specs_ms.pklbin,CCMSLIB00003136151,3658.29,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274771,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274771,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.741378,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,434.774,9,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,4505.31,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
274877,M+H,2420566,1,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin274877,N/A,N/A,HCD,Positive,ESI,281.247,lib-00031.mgf,Bronze,3,0.725969,0,0,134,13102,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,281.247,N/A,327.741,9,N/A,0,281.247,spectra/specs_ms.pklbin,CCMSLIB00003136151,3929.02,UPDATE-SINGLE-ANNOTATED-BRONZE,Lipid[Chemical Family]
