,Median OR,95% Interval,90% Interval,75% Interval
heptanoate (7:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heptenedioate (C7:1-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isovitexin,1.0,"(1.0, 0.72825793)","(1.0, 0.80460806)","(1.0, 0.98540752)"
isovalerylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isovalerate (C5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoursodeoxycholate sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoursodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isorhamnetin 3-rutinoside,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoleucylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isohyodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocitric lactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproate (i6:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isobutyrylglycine (C4),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isobutyrylcarnitine (C4),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
inosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoxanthohumol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
kaempferol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
kynurenate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
kynurenine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N2,N2-dimethylguanine",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucylglutamine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
laurylcarnitine (C12),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
laurate (12:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lansoprazole,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indolin-2-one,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lanosterol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
LAHSA (18:2/OH-18:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactobacillic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
L-urobilin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lamivudine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indolepropionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indolelactate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indoleacrylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
homo-cis-aconitate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
histidylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
histidine betaine (hercynine)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
histidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
histamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hippurate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoyltaurine,1.0,"(1.0, 1.25508086)","(1.0, 1.0377968)","(1.0, 1.0)"
hexanoylglycine (C6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
homocitrulline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecenedioate (C16:1-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecatrienoate (16:3n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecasphingosine (d16:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecasphinganine (d16:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecanedioate (C16),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecadienoate (16:2n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hesperidin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hesperetin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoylcarnitine (C6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lignoceroyl ethanolamide (24:0)*,1.0,"(1.0, 0.83803116)","(1.0, 0.84925142)","(1.0, 1.0)"
homostachydrine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydantoin-5-propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indoleacetylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indoleacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indole-3-carboxylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indole-3-acetamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indole,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
imidazole propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
imidazole lactate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ibuprofen acyl glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
homovanillate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ibuprofen,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hypoxanthine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hypotaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hyocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroxymethylpyrimidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroxybupropion,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"hydroxy-N6,N6,N6-trimethyllysine*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroquinone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydrochlorothiazide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
I-urobilinogen,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N2,N2-dimethylguanosine",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N6,N6,N6-trimethyllysine",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N2-acetyllysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H19NO3 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H17NO3 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H17NO3 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C15H17NO3 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C15H17NO3 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sucrose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sucralose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
succinylglutamine,1.0,"(1.0, 1.63640212)","(1.0, 1.45411868)","(1.0, 1.25671353)"
succinylcarnitine (C4-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
succinoyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
succinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
suberoylcarnitine (C8-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
suberate (C8-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stigmasterol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stigmastadienone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
steviol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearoylcarnitine (C18),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H19NO3 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H19NO3 (3)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H19NO4 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C16H19NO4 (4)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurocholenate sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurochenodeoxycholic acid 3-sulfate,1.0,"(1.0, 1.11093277)","(1.0, 1.02685425)","(1.0, 1.0)"
taurochenodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tauro-beta-muricholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tartronate (hydroxymalonate),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearoyl-linoleoyl-glycerol (18:0/18:2) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tartarate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
syringic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
syringaldehyde,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
synephrine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfociprofloxacin*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C18H21NO3 (3)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C18H21NO3 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sulfate of piperine metabolite C18H21NO3 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tamsulosin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurodeoxycholic acid 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
solifenacin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sertraline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
serotonin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
serine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sedoheptulose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
secoisolariciresinol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sebacate (C10-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sarcosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
salicyluric glucuronide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
salicylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
saccharopine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
saccharin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
S-methylmethionine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
S-methylcysteine sulfoxide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
S-methylcysteine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
S-carboxymethyl-L-cysteine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
S-carboxyethylcysteine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
soyasaponin I,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
soyasaponin II,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
soyasaponin III,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
spermidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearidonate (18:4n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearate (18:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stachydrine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
SQDG (18:3/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sphingosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
stearoyl sphingomyelin (d18:1/18:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",1.0,"(1.0, 1.51618908)","(1.0, 1.46594487)","(1.0, 1.16742445)"
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",1.0,"(1.0, 1.27239379)","(1.0, 1.18957964)","(1.0, 1.0)"
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:0/18:0, d19:0/17:0)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sphinganine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
sphingadienine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
spermine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurohyodeoxycholic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurolithocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
taurolithocholate 3-sulfate,1.0,"(1.0, 1.08112266)","(1.0, 1.0)","(1.0, 1.0)"
ursocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
Urolithin A,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"uridine-2',3'-cyclic monophosphate",1.0,"(1.0, 0.75699396)","(1.0, 0.86580116)","(1.0, 0.9990005)"
uridine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
urea,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
urate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
uracil,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
undecenoylcarnitine (C11:1),1.0,"(1.0, 1.27404898)","(1.0, 1.17339353)","(1.0, 1.0)"
undecanoate (11:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
undecanedioate (C11-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
umbelliferone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
umbelliferone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tyrosylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tyrosol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tyrosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tyramine O-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tyramine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ursodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ursodeoxycholate sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valerate (5:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valerylglycine (C5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
xanthosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
xanthine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
warfarin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vitexin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
venlafaxine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vanillylmandelate (VMA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vanillin,1.0,"(1.0, 0.72180519)","(1.0, 0.80759063)","(1.0, 1.0)"
vanillic alcohol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tryptophylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vanillic acid glycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vanillactate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vancomycin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valsartan,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
valerylphenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
vanillate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tryptophan betaine,1.0,"(1.0, 1.19363109)","(1.0, 1.10638727)","(1.0, 1.0)"
tryptophan,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tryptamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
theophylline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
theobromine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
theanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
THC carboxylic acid glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
THC carboxylic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocortisone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocortisol sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocortisol sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
thiamin (Vitamin B1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocortisol glucuronide ,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocorticosterone glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetradecanoylsphingosine (d14:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetradecanedioate (C14),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetradecadienoate (14:2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tenofovir,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tauroursodeoxycholic acid sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tauroursodeoxycholic acid sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tauroursodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tetrahydrocortisol disulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
S-allylcysteine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
thioproline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
threonine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trizma acetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trimethylamine N-oxide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trigonelline (N'-methylnicotinate),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tricosanoyl sphingomyelin (d18:1/23:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tricarballylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trazadone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trans-urocanate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroxyproline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
threonate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
trans-2-hexenoylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
torasemide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tiglyl carnitine (C5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tigloylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
thymol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
thymine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
TMP,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
thymidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
threonylphenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
tramadol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N2,N5-diacetylornithine",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
S-1-pyrroline-5-carboxylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
rosuvastatin lactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
orotate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ornithine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ondansetron,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoylcholine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoylcarnitine (C18:1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-linoleoyl-glycerol (18:1/18:2) [1],1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-linolenoyl-glycerol (18:1/18:3) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
